,year,GEOID,crime_count
1088,2011,421010315011,164
1089,2011,421010315012,128
1090,2011,421010315013,85
1091,2011,421010315014,54
1092,2011,421010315015,65
1093,2011,421010315021,188
1094,2011,421010315022,103
1095,2011,421010315023,34
1096,2011,421010316001,39
1097,2011,421010316002,85
1098,2011,421010316003,110
1099,2011,421010316004,82
1100,2011,421010316005,57
1101,2011,421010316006,70
1102,2011,421010316007,109
1103,2011,421010317001,94
1104,2011,421010317002,88
1105,2011,421010317003,61
1106,2011,421010317004,229
1107,2011,421010317005,96
1108,2011,421010318001,132
1109,2011,421010318002,107
1110,2011,421010318003,48
1111,2011,421010318004,52
1112,2011,421010319001,66
1113,2011,421010319002,121
1114,2011,421010319003,80
1115,2011,421010319004,76
1116,2011,421010319005,135
1117,2011,421010320001,81
1118,2011,421010320002,64
1119,2011,421010320003,111
1120,2011,421010320004,62
1121,2011,421010320005,101
1122,2011,421010320006,77
1123,2011,421010320007,76
1124,2011,421010321001,216
1125,2011,421010321002,111
1126,2011,421010321003,205
1127,2011,421010323001,116
1128,2011,421010323002,154
1129,2011,421010323003,260
1130,2011,421010325001,86
1131,2011,421010325002,162
1132,2011,421010325003,282
1133,2011,421010325004,225
1134,2011,421010326001,154
1135,2011,421010326002,79
1136,2011,421010326003,111
1137,2011,421010326004,116
1138,2011,421010326005,130
1139,2011,421010326006,70
1140,2011,421010326007,85
1141,2011,421010329001,79
1142,2011,421010329002,59
1143,2011,421010329003,99
1144,2011,421010329004,77
1145,2011,421010329005,95
1146,2011,421010330001,71
1147,2011,421010330002,49
